volume_no,file,original_chars,white_chars,paired_sections,original_only_sections,white_only_sections
202,《资治通鉴.第4部》全译(185-240)/202.txt,11806,17876,148,0,0
203,《资治通鉴.第4部》全译(185-240)/203.txt,11391,17383,111,0,0
204,《资治通鉴.第4部》全译(185-240)/204.txt,10764,16658,102,0,0
205,《资治通鉴.第4部》全译(185-240)/205.txt,10557,16279,84,0,0
206,《资治通鉴.第4部》全译(185-240)/206.txt,11198,16616,89,0,1
207,《资治通鉴.第4部》全译(185-240)/207.txt,10492,20645,106,0,1
208,《资治通鉴.第4部》全译(185-240)/208.txt,11660,18621,106,0,0
209,《资治通鉴.第4部》全译(185-240)/209.txt,11819,20813,68,0,0
210,《资治通鉴.第4部》全译(185-240)/210.txt,11591,21253,116,0,1
211,《资治通鉴.第4部》全译(185-240)/211.txt,11890,20789,114,0,0
212,《资治通鉴.第4部》全译(185-240)/212.txt,11124,21389,146,0,2
213,《资治通鉴.第4部》全译(185-240)/213.txt,10729,17977,121,0,0
214,《资治通鉴.第4部》全译(185-240)/214.txt,11044,19202,119,0,3
215,《资治通鉴.第4部》全译(185-240)/215.txt,11384,17781,78,0,1
216,《资治通鉴.第4部》全译(185-240)/216.txt,10437,17117,86,0,1
217,《资治通鉴.第4部》全译(185-240)/217.txt,10238,16675,61,0,0
218,《资治通鉴.第4部》全译(185-240)/218.txt,11687,18093,44,0,0
219,《资治通鉴.第4部》全译(185-240)/219.txt,9916,15096,66,0,0
220,《资治通鉴.第4部》全译(185-240)/220.txt,11407,18405,73,0,0
221,《资治通鉴.第4部》全译(185-240)/221.txt,11207,17603,80,0,0
222,《资治通鉴.第4部》全译(185-240)/222.txt,10855,17353,114,0,0
223,《资治通鉴.第4部》全译(185-240)/223.txt,11402,17977,76,0,0
224,《资治通鉴.第4部》全译(185-240)/224.txt,11878,18500,133,0,0
225,《资治通鉴.第4部》全译(185-240)/225.txt,11431,17780,138,0,0
226,《资治通鉴.第4部》全译(185-240)/226.txt,11283,19215,60,0,0
227,《资治通鉴.第4部》全译(185-240)/227.txt,11257,17511,63,0,1
228,《资治通鉴.第4部》全译(185-240)/228.txt,10539,16940,39,0,0
229,《资治通鉴.第4部》全译(185-240)/229.txt,9816,16832,30,0,0
230,《资治通鉴.第4部》全译(185-240)/230.txt,9642,16328,31,0,0
231,《资治通鉴.第4部》全译(185-240)/231.txt,10194,16997,59,0,0
232,《资治通鉴.第4部》全译(185-240)/232.txt,11630,19972,55,0,0
233,《资治通鉴.第4部》全译(185-240)/233.txt,10221,16832,70,0,0
234,《资治通鉴.第4部》全译(185-240)/234.txt,11929,21693,51,0,0
235,《资治通鉴.第4部》全译(185-240)/235.txt,11009,18655,118,0,0
236,《资治通鉴.第4部》全译(185-240)/236.txt,9407,16701,104,0,0
237,《资治通鉴.第4部》全译(185-240)/237.txt,10108,20128,94,0,1
238,《资治通鉴.第4部》全译(185-240)/238.txt,12038,21139,65,0,0
239,《资治通鉴.第4部》全译(185-240)/239.txt,10495,20149,107,0,0
240,《资治通鉴.第4部》全译(185-240)/240.txt,10200,17781,76,0,0
241,《资治通鉴.第5部》全译(241-294)/241.txt,10827,19415,82,0,0
242,《资治通鉴.第5部》全译(241-294)/242.txt,9495,16144,72,0,0
243,《资治通鉴.第5部》全译(241-294)/243.txt,11830,22638,121,0,1
244,《资治通鉴.第5部》全译(241-294)/244.txt,10926,19589,83,0,0
245,《资治通鉴.第5部》全译(241-294)/245.txt,11494,20812,95,0,1
246,《资治通鉴.第5部》全译(241-294)/246.txt,11923,20643,99,0,0
247,《资治通鉴.第5部》全译(241-294)/247.txt,10947,20291,56,0,0
248,《资治通鉴.第5部》全译(241-294)/248.txt,11653,21076,110,0,0
249,《资治通鉴.第5部》全译(241-294)/249.txt,11462,20638,131,0,1
250,《资治通鉴.第5部》全译(241-294)/250.txt,11315,20110,126,0,0
251,《资治通鉴.第5部》全译(241-294)/251.txt,10904,18892,23,0,0
252,《资治通鉴.第5部》全译(241-294)/252.txt,11096,18659,118,0,0
253,《资治通鉴.第5部》全译(241-294)/253.txt,10572,16618,123,0,1
254,《资治通鉴.第5部》全译(241-294)/254.txt,11027,18302,94,0,0
255,《资治通鉴.第5部》全译(241-294)/255.txt,10800,18182,93,0,0
256,《资治通鉴.第5部》全译(241-294)/256.txt,10773,17615,98,0,0
257,《资治通鉴.第5部》全译(241-294)/257.txt,9089,14884,91,0,0
258,《资治通鉴.第5部》全译(241-294)/258.txt,10422,17084,97,0,0
